clusterNum	maxK	pItem	pFeature	clusterAlg	distance	avg_silhouette_width
2	7	0.8	0.8	hc	pearson	0.703107965
2	5	0.6	0.8	hc	pearson	0.69345106
2	5	0.5	0.9	hc	pearson	0.690270265
2	5	0.9	0.7	hc	pearson	0.686252534
2	6	0.8	0.7	hc	pearson	0.684724446
2	7	0.9	0.7	hc	pearson	0.670637667
2	5	0.7	0.7	hc	pearson	0.669027893
2	6	0.6	0.7	hc	pearson	0.660794044
2	5	0.5	0.7	hc	pearson	0.659495879
2	7	0.7	0.7	hc	pearson	0.656025559
2	7	0.5	0.7	hc	pearson	0.655198259
2	5	0.7	1	pam	maximum	0.635210937
2	6	0.5	0.6	hc	pearson	0.633978268
2	6	0.9	0.6	hc	pearson	0.632378014
2	5	0.8	0.6	hc	pearson	0.631417083
2	7	0.8	0.6	hc	pearson	0.6257933
2	6	0.7	0.6	hc	pearson	0.620674122
2	5	0.6	0.6	hc	pearson	0.61926602
2	7	0.6	0.6	hc	pearson	0.614273383
2	7	0.7	1	pam	maximum	0.604911875
2	7	0.9	0.5	hc	pearson	0.597156262
2	5	0.9	0.5	hc	pearson	0.595393648
2	5	0.7	0.5	hc	pearson	0.592472766
2	7	0.5	0.5	hc	pearson	0.590341075
2	6	0.8	0.5	hc	pearson	0.589835214
2	5	0.5	0.5	hc	pearson	0.589104791
2	6	0.6	0.5	hc	pearson	0.587151056
2	7	0.7	0.5	hc	pearson	0.579449797
2	6	0.9	0.9	pam	maximum	0.546191898
2	7	0.8	0.9	pam	maximum	0.523965819
2	6	0.6	1	pam	maximum	0.518286875
2	5	0.8	0.9	pam	maximum	0.498529759
2	5	0.5	1	pam	maximum	0.451954279
2	6	0.7	0.9	pam	maximum	0.448874757
2	7	0.9	0.8	pam	maximum	0.438398518
2	7	0.5	1	pam	maximum	0.436976772
2	5	0.9	0.8	pam	maximum	0.436552248
2	5	0.6	0.9	pam	maximum	0.436067005
2	6	0.8	0.8	pam	maximum	0.430200129
2	7	0.6	0.9	pam	maximum	0.421687594
2	6	0.5	0.9	pam	maximum	0.419667755
2	5	0.7	0.8	pam	maximum	0.401406003
2	6	0.6	0.8	pam	maximum	0.379126587
2	7	0.7	0.8	pam	maximum	0.378650147
2	5	0.8	0.7	pam	maximum	0.367660128
2	6	0.9	0.7	pam	maximum	0.365190251
2	7	0.5	0.8	pam	maximum	0.36241404
2	7	0.8	0.7	pam	maximum	0.346291532
2	5	0.5	0.8	pam	maximum	0.346064141
2	6	0.7	0.7	pam	maximum	0.329995659
2	5	0.9	0.6	pam	maximum	0.321478249
2	5	0.6	0.7	pam	maximum	0.316419159
2	7	0.6	0.7	pam	maximum	0.316045024
2	6	0.8	0.6	pam	maximum	0.307414929
2	7	0.9	0.6	pam	maximum	0.302259285
2	7	0.7	0.6	pam	maximum	0.293903223
2	6	0.5	0.7	pam	maximum	0.291147427
2	6	0.9	0.5	pam	maximum	0.289457973
2	5	0.5	0.6	pam	maximum	0.283329007
2	7	0.5	0.6	pam	maximum	0.28064575
2	7	0.8	0.5	pam	maximum	0.277722379
2	6	0.7	0.5	pam	maximum	0.276833236
2	6	0.5	0.5	pam	maximum	0.273634052
